3K_DNA_IRIS_UNIQUE_ID;TYPE
IRIS-313-11381;ind3
IRIS-313-11382;indx
IRIS-313-11383;indx
IRIS-313-11384;indx
IRIS-313-11385;indx
IRIS-313-11386;ind3
IRIS-313-11387;ind3
IRIS-313-11388;ind3
IRIS-313-11389;ind3
IRIS-313-11390;ind3
IRIS-313-11391;ind3
IRIS-313-11392;ind3
IRIS-313-11393;ind3
IRIS-313-11394;indx
IRIS-313-11395;ind3
IRIS-313-11396;trop1
IRIS-313-11397;trop1
IRIS-313-11398;ind3
IRIS-313-11399;indx
IRIS-313-11400;indx
IRIS-313-11401;aro
IRIS-313-11402;indx
IRIS-313-11403;indx
IRIS-313-11404;ind2
IRIS-313-11405;ind3
IRIS-313-11406;ind3
IRIS-313-11407;ind2
IRIS-313-11408;ind2
IRIS-313-11409;ind2
IRIS-313-11410;indx
IRIS-313-11411;ind2
IRIS-313-11413;aus
IRIS-313-11414;indx
IRIS-313-11415;admix
IRIS-313-11416;ind2
IRIS-313-11417;admix
IRIS-313-11418;ind2
IRIS-313-11419;indx
